DATE,yield_ust,CPI,Unemployment_Rate,GDP_Growth_Rate,S&P500_Index,VIX_Index,Brent_Oil_Price,Euro_Bond_Yield,Dollar_Index
2020-01-28,1.56,274.33,4.2,2.3,4219.35,32.8,106.05,0.95,91.41
2020-01-29,1.52,293.67,4.8,1.44,4390.26,21.92,84.99,1.83,93.71
2020-01-30,1.46,295.04,5.5,1.66,3579.41,18.09,109.33,1.98,103.28
2020-01-31,1.38,271.09,4.8,1.29,4231.5,15.51,111.02,2.2,107.63
2020-02-01,1.33,263.84,4.6,0.34,3687.41,27.92,72.72,1.35,106.28
2020-02-02,1.33,279.62,5,1.54,4358.18,27.74,99.44,1.11,103.7
2020-02-03,1.3,295.62,4.4,2.1,4319.06,21.81,88.34,1.15,92.21
2020-02-04,1.13,260.53,3.6,2.93,4040.79,16.43,112.81,1.93,95.78
2020-02-05,1.1,281.15,4.6,1.86,4210.24,23.19,72.94,2.13,96.2
2020-02-06,1.02,281.58,5.4,2.43,3814.35,21.22,100.67,0.86,95
2020-02-07,1.02,286.66,3.9,-0.28,3971.17,28.54,96.47,1.24,100.3
2020-02-08,0.92,256.58,4.9,1.08,4321.64,27.12,77.72,2.3,100.71
2020-02-09,0.74,285.79,3.9,-0.96,3959.27,22.29,68.2,2.11,97.14
2020-02-10,0.54,295.45,4.6,0.11,3857.8,19.36,99.1,2.47,97.08
2020-02-11,0.76,258.98,3.7,2.27,3994.21,34.76,104.32,2.01,106.57
2020-02-12,0.82,261.88,4.4,3.46,4328.25,24.08,78.94,1.29,105.79
2020-02-13,0.88,298.57,5,-0.55,3835.21,28.77,98.69,1.68,96.16
2020-02-14,0.94,259.05,4.2,0.81,3673.76,17.81,83.71,1.82,108.28
2020-02-15,0.73,292.72,4.8,2.6,4212.01,24.71,102.79,0.66,109.06
2020-02-16,1.02,274.61,5.1,-0.08,4325.98,15.55,71.95,1.59,96.53
2020-02-17,1.18,262.36,5.4,1.5,3600.64,25.11,113.41,1.92,97.09
2020-02-18,1.12,293.54,4,2.3,3739.87,34.28,77.24,0.83,100.11
2020-02-19,0.92,272.27,4.3,1.77,3641.97,22.68,82.07,2.06,108.82
2020-02-20,0.76,275.74,3.8,-0.15,3847.94,15.78,63.49,1.67,107.53
2020-02-21,0.84,267.96,5.5,0.6,3950.35,15.62,66.69,2.4,92.05
2020-02-22,0.88,279.65,5.4,2.53,4248.83,22.76,90.95,0.58,97.85
2020-02-23,0.83,258.18,4.6,1.49,4151.15,18.2,76.06,1.03,101.07
2020-02-24,0.72,269.55,5.2,-0.98,4120.93,15.47,110.13,1.7,100.06
2020-02-25,0.7,298.47,4.5,2.42,3852.37,30.12,60.88,1.09,93.88
2020-02-26,0.7,262.91,4.7,-0.84,4341.45,24.17,82.75,1.93,107.18
2020-02-27,0.62,282.84,3.7,2.36,3971.29,20.78,80.24,2.02,103.54
2020-02-28,0.63,266.26,5,-0.09,4479.1,33,61.16,0.71,106.76
2020-02-29,0.62,288.67,3.8,3.31,4134.14,17.32,67.46,1.53,107.18
2020-03-01,0.67,256.54,5.2,0.66,3626.26,34.12,84.82,1.52,104.97
2020-03-02,0.75,298.49,5.1,0.47,4176.18,21.28,89.57,1.24,98.78
2020-03-03,0.77,272.69,4.9,-0.33,3825.1,32.77,84.26,2.37,102.21
2020-03-04,0.73,261.8,3.6,0.38,4186.33,27.06,91.86,2.16,93.21
2020-03-05,.,253.67,4.1,2.94,3569.64,31.53,95.71,1.89,103.47
2020-03-06,0.76,258.49,4,3.48,3674.88,34.68,60.6,1.93,93.59
2020-03-07,0.76,275.99,4.2,0.66,4355.74,20.77,87.85,1.42,103.88
2020-03-08,0.63,266.85,3.7,1.02,3727.18,34.22,117.81,2.34,94.59
2020-03-09,0.61,291.44,5.4,2.25,4337.04,22.79,91.14,1.89,92.35
2020-03-10,0.65,271.54,4.6,2.99,3779.28,22.71,100.65,1.96,93.31
2020-03-11,0.63,262.44,4.1,1.67,4142.88,21.81,78.71,2.22,90.04
2020-03-12,0.58,280.86,4.3,0.76,4194.15,25.83,106.44,1.05,104.37
2020-03-13,0.63,285.34,4.4,0.86,4012.65,18.08,106.38,2.11,104.65
2020-03-14,0.61,258.35,4.7,2.13,3805.31,26.07,91.28,0.89,100.3
2020-03-15,0.6,258.38,4.5,-0.99,3712.64,25.83,118.56,1.19,93.23
2020-03-16,0.67,251.83,5.3,1.79,3533.19,30.24,67.53,1.17,91.67
2020-03-17,0.62,286.82,4.5,0.6,3803.95,31.67,61.02,2.46,90.38
2020-03-18,0.63,283.19,5.5,2.57,4153.16,23.81,106.21,2.21,93.31
2020-03-19,0.64,273.73,5.2,-0.58,4438.3,21.05,108.43,1.9,107.82
2020-03-20,0.64,292.21,3.9,1.65,4371.2,20.19,67.21,1.95,94.83
2020-03-21,0.64,290.28,5.4,1.16,4266.06,18.89,75.93,1.62,97.09
2020-03-22,0.66,279.27,3.7,1.89,4288.45,16.15,61.05,2.39,92.11
2020-03-23,0.72,293.41,5.1,-0.71,4164.98,21.85,77.6,1.49,94.45
2020-03-24,0.63,260.29,4.3,1.61,3760.29,20.4,106.39,1.26,100.38
2020-03-25,0.69,255.6,5.3,1.53,4407.2,34.33,91.08,0.83,102.16
2020-03-26,0.73,263.49,5.2,1.52,4170.73,26.15,80.89,2.07,94.91
2020-03-27,0.69,252.85,5.1,1.72,4060.44,21.95,82.3,1.97,91.15
2020-03-28,0.64,276.56,5.1,2.04,3610.99,26.61,60.08,1.27,97.82
2020-03-29,0.63,296.83,4.1,2.62,3947.06,17.78,77.99,0.55,94.68
2020-03-30,0.64,251.97,3.7,0.21,3960.36,23.88,98.79,2.18,94.39
2020-03-31,0.73,256.11,4.3,2.71,4364.56,27.52,118.45,0.52,109.2
2020-04-01,0.7,272.61,3.8,1.24,4046.65,24.78,110.82,1.91,102.33
2020-04-02,0.68,296.69,4.9,-0.65,3880.4,23.04,61.42,2.44,101.14
2020-04-03,0.68,265.81,4.2,-0.74,4476.8,34.88,113.91,1.38,98.32
2020-04-04,0.66,275.36,5.5,0.5,3610.72,32.61,106.99,0.97,98.58
2020-04-05,.,252.08,4.8,2.53,3922.55,27.47,106.82,1.91,100.82
2020-04-06,0.69,257.42,5.1,2.18,3542.02,26.39,87.48,2.13,103.93
2020-04-07,0.68,299.33,3.8,2.55,4239.9,27.41,83.88,1.59,104.04
2020-04-08,0.7,298.26,5.2,1.33,4418.08,19.03,78.17,2.43,93.43
2020-04-09,0.65,250.25,5.3,0.98,3780.04,22.9,63.94,0.6,100
2020-04-10,0.66,297.59,4.5,-0.34,4358.34,15.79,73.69,1.51,98.24
2020-04-11,0.68,281.96,4.7,0.48,3792.22,24.51,74.8,1.94,107.41
2020-04-12,0.77,293.4,5,0.95,4410.77,25.86,89.04,2.23,102.63
2020-04-13,0.82,272.74,3.8,-0.6,4253.96,19.55,104.85,0.86,100.65
2020-04-14,0.91,275.78,4.5,-0.01,4304.91,34.28,88.43,2.1,92.31
2020-04-15,0.88,274.44,4.3,1.69,3518.01,33.19,63.47,1.61,102.11
2020-04-16,0.84,283.34,3.8,2.31,4462.81,29.44,117.47,1.29,92.34
2020-04-17,0.75,256.98,4.2,3.49,4226.67,25.67,116.56,0.76,96.74
2020-04-18,0.66,251.5,3.6,3.2,3804.75,32.4,107.11,2.23,92.86
2020-04-19,0.71,265.4,3.6,1.89,4329.39,17.61,119.48,0.81,103.84
2020-04-20,0.71,285.23,3.8,0.9,3781.52,30.81,92.67,1.12,94.13
2020-04-21,0.75,260.09,5.4,1.86,4372.75,17.5,117.77,1.08,97.84
2020-04-22,0.74,283.67,4.6,2.54,3612.58,30.88,64.54,2.24,107.91
2020-04-23,0.71,298.5,5.4,-0.47,4203.69,20.52,81.94,1.85,94.09
2020-04-24,0.7,254.7,4.4,0.84,4040.7,32.54,73.52,2.09,100.16
2020-04-25,0.71,283.63,4.1,2.78,3596.53,33.88,71.75,1,98.39
2020-04-26,0.72,272.19,4.5,0.73,3741.89,17.98,68.45,1.75,90.36
2020-04-27,0.69,293.41,4.4,1.57,3512.4,24.25,97.34,1.64,105.86
2020-04-28,0.68,258.86,3.7,1.64,3968.77,34.62,106.88,2.17,91.38
2020-04-29,0.64,284.63,4.8,-0.17,3801.27,24.67,94.7,2.31,99.49
2020-04-30,0.64,291.91,3.9,0.63,4098.36,32.27,68.82,0.52,101.21
2020-05-01,0.66,297.23,4.7,0.51,3797.24,26.77,108.67,1.85,102.57
2020-05-02,0.69,284.16,4.8,-0.88,3799.92,22.51,98.16,0.6,103.77
2020-05-03,0.68,274.86,3.8,-0.89,4243.19,20.72,83.29,1.6,95.07
2020-05-04,.,280.89,3.6,2.74,3548.14,19.06,100.45,1.08,90.2
2020-05-05,0.69,293.45,5.1,0.23,4402.89,30.24,75.59,1.11,104.47
2020-05-06,0.65,278.53,4.4,1.33,4352.26,22.73,80.71,1.21,100.71
2020-05-07,0.67,251.52,3.6,0.34,4167.8,25.23,115.05,1.74,106.72
2020-05-08,0.62,296.55,5.5,3.23,4093.22,24.85,77.43,1.17,106.43
2020-05-09,0.65,284.48,3.6,0.17,4392.3,26.55,88.2,1.97,106.87
2020-05-10,0.64,283.83,4.9,0.93,3685.33,32.31,113.41,1.31,99.7
2020-05-11,0.63,260.78,5.5,2.93,3578.97,34.61,102.46,0.64,96.67
2020-05-12,0.64,282.94,4,2.79,3739.51,23.15,63.73,2.07,105.83
2020-05-13,0.62,269.69,3.8,-0.16,4294.58,31.55,68.84,1.07,99.03
2020-05-14,0.64,282.56,3.7,2.61,3534.67,30.29,60.47,1.37,93.67
2020-05-15,0.62,255.33,4.1,1.06,4082.81,26.47,97.86,1.87,107.1
2020-05-16,0.61,282.89,3.7,1.17,4495.44,34.12,86.86,1.16,107.65
2020-05-17,0.6,299.97,4.9,-0.4,4355.7,19.01,68.06,0.61,99.33
2020-05-18,0.59,252.41,3.6,-0.64,4021.45,17.19,117.48,1.25,91.51
2020-05-19,0.59,298.86,4.5,2.28,3563.64,32.08,91.78,2.39,97.76
2020-05-20,0.62,270.35,5.5,1.23,4331.37,23.78,74.51,1.78,106.07
2020-05-21,0.59,293.54,5.1,0.97,4098.98,31.94,90.04,1.84,108.04
2020-05-22,0.58,289.12,4.7,2.28,3614.93,32.86,100.78,1.76,94.07
2020-05-23,0.55,278.35,4.1,2.44,3593.86,16.25,64.57,0.9,91.34
2020-05-24,0.55,286.92,4.7,-0.28,4409.63,32.67,76.48,1.34,107.55
2020-05-25,0.56,293.93,4.6,1.75,4169.2,23.97,108.42,2,97.79
2020-05-26,0.52,270.21,4.4,-0.39,4329.29,25.21,87.58,0.7,100.84
2020-05-27,0.55,266.35,3.8,2.38,4378.98,27.53,92.79,1.06,109.36
2020-05-28,0.55,283.38,5.3,1.96,4071.77,33.53,85.97,1.05,91.33
2020-05-29,0.57,290.39,4.4,3.3,4017.45,15.38,62.63,1.36,102.97
2020-05-30,0.59,288.11,3.9,-0.69,3930.43,24.54,69.94,2.46,91.48
2020-05-31,0.64,289.89,4.2,-0.74,3816.95,28.75,86.73,0.64,97.51
2020-06-01,0.69,271.78,4.3,0.27,3934.6,29.45,72.55,1.54,106.08
2020-06-02,0.71,290.89,5.2,0.18,4273.88,28.85,63,0.86,98.67
2020-06-03,0.71,256.01,5,0.11,4101.92,17.69,110.62,2.44,109.94
2020-06-04,0.69,277.22,5,3.08,4392.52,20.99,118.87,0.73,101.18
2020-06-05,0.67,250.29,3.5,0.12,3943.38,22.17,107.59,1.31,96.42
2020-06-06,0.68,266.23,4.3,0.22,4107.09,31.09,111.23,1.98,94.4
2020-06-07,0.65,268.32,4.5,2.42,4131.31,20.58,74.52,1.91,97.01
2020-06-08,0.64,269.81,3.5,1.02,4091.7,19.21,117.64,1.35,97.45
2020-06-09,0.65,284.77,4,2.5,4202.63,34.15,71.82,1.19,91.37
2020-06-10,0.69,269.43,5,-0.71,3737.43,15.18,117.09,1.3,97.39
2020-06-11,0.69,272.43,3.8,1.19,4012.36,34.96,119.69,1.03,99.28
2020-06-12,0.74,261.88,4.6,-0.85,3604.22,28.54,102.7,0.91,104.45
2020-06-13,0.74,268.66,3.9,-0.72,3884.51,31.57,118.87,1.47,103.13
2020-06-14,0.72,261.36,3.5,3.08,3987.67,20.89,94.17,1.04,104.18
2020-06-15,0.68,253.66,4,-0.37,4152.22,15.29,75.57,1.07,90.17
2020-06-16,0.66,280.17,5.5,1.4,4450.53,29.76,86.22,1.81,94.35
2020-06-17,0.63,283.41,5.1,0.85,4100.65,31.68,95.61,2.44,103.23
2020-06-18,0.72,280.97,5.4,0.56,4243.59,29.81,64.38,1.71,99.68
2020-06-19,.,273.17,4.5,3.05,4006.27,17.86,97.34,0.65,90.11
2020-06-20,0.69,268.99,3.7,-0.9,4134.1,30.07,118.87,0.65,106.09
2020-06-21,0.71,293.17,4.6,1.99,3570.93,30.38,71.41,2.4,105.46
2020-06-22,0.68,275.95,4.4,3.34,3754.39,28.17,107.56,1.09,100.97
2020-06-23,0.67,273.96,5.2,1.52,3861.85,30.32,114.47,0.68,91.33
2020-06-24,0.68,251.28,3.7,3.22,3972.49,31.92,116.62,1.7,105.33
2020-06-25,0.68,267.06,4.5,-0.76,3545.65,27.27,117.61,1.75,101.67
2020-06-26,0.69,269.01,3.8,0.88,3640.02,16.77,91.29,1.8,105.64
2020-06-27,0.69,269.94,4.1,0.17,3776.81,24.75,118.64,1.03,105.03
2020-06-28,0.7,279.01,5,2.29,4471.53,16.55,105.44,0.53,106.06
2020-06-29,0.68,276.68,4.5,3.42,3831.35,23.15,69.7,2.43,100.36
2020-06-30,0.68,280.4,4.3,0.15,3982.04,23.14,88.61,1,92.81
2020-07-01,0.68,288.24,4.3,1.94,3696.1,16.32,103.1,1.85,103.42
2020-07-02,0.67,290.65,4.4,-0.11,4110.78,21.98,74.84,1.91,102.41
2020-07-03,0.66,285.91,5.1,1.54,3780.68,17.22,98.44,1.72,104.85
2020-07-04,0.67,297.78,5.3,1.09,3706.99,31.16,100,1.13,93.4
2020-07-05,0.66,250.91,5.4,3.37,4016.57,33.95,69.76,1.04,93.9
2020-07-06,0.69,259.79,5.1,1.74,3505.51,16.45,93.91,1.7,107.81
2020-07-07,0.68,250.38,4.1,0.57,3507.66,34.1,106.3,2.23,105
2020-07-08,0.7,282.37,4.9,-0.49,3719.07,25.45,89.93,2.39,108.16
2020-07-09,0.78,294.9,4.4,-0.32,3536.72,20.99,60.73,0.71,105.17
2020-07-10,0.76,262.17,4,0.01,3608.03,16.54,60.54,0.81,101.94
2020-07-11,0.81,296.35,5.2,0.13,3838.86,25.01,81.42,2.39,103.08
2020-07-12,0.78,253.01,3.6,2.83,4302.59,30.89,115.57,1.97,107.78
2020-07-13,0.79,296.72,5.3,1.53,4072.05,29.14,73.72,2.27,101.58
2020-07-14,.,267.58,4.4,1.36,4012.67,16,98.06,0.91,102.65
2020-07-15,0.74,255.07,4.8,-0.48,3793.49,16.46,73.32,1.68,93.13
2020-07-16,0.73,274.29,4.8,2.87,4431.75,23.06,79.3,1.9,99.48
2020-07-17,0.74,262.84,5.3,2.25,3897.02,20.91,110.88,1.86,104.33
2020-07-18,0.76,264.24,4.8,-0.7,3587.09,19.65,103.73,1.32,95.42
2020-07-19,0.78,265.36,4.7,2.19,4117.07,20.62,65.72,0.53,94.05
2020-07-20,0.81,290.15,3.6,1.45,3613.84,31.07,85.72,1.67,96.28
2020-07-21,0.83,276.96,4.5,-0.63,3845.22,33.58,61.75,1.01,94.83
2020-07-22,0.87,265.57,3.8,1.06,4007.41,23.1,88.85,1.4,94.3
2020-07-23,0.85,280.52,5,1.18,4374.22,33.12,99.75,2.42,98.5
2020-07-24,0.81,285.81,4.5,-0.25,3993.55,21.43,67.11,1.3,108.16
2020-07-25,0.79,263.63,4.9,3.26,4202.26,24.53,77.33,2.18,100.14
2020-07-26,0.79,270.68,3.6,2.82,4492.82,19.52,83.87,0.88,93.76
2020-07-27,0.85,256.09,3.7,2.01,3631.49,27.81,115.17,1.84,91.54
2020-07-28,0.88,259.06,4.9,1.08,3774.73,34.58,119.6,2.45,103.92
2020-07-29,0.87,284.06,3.6,0.85,3894.58,27.07,62.69,0.7,97.66
2020-07-30,0.9,259.07,3.6,1.93,3921.83,22.16,105.66,0.52,106.44
2020-07-31,0.78,276.26,3.5,1.45,3911.02,27.96,82.3,1.37,103.19
2020-08-01,0.79,285.45,5.4,-0.72,4407.61,17.46,83.55,0.69,105.92
2020-08-02,0.83,255.34,5,1.31,4214.03,32.77,105.26,2,95.44
2020-08-03,0.96,278.37,4.2,2.63,4107.91,25.06,115.11,2.33,103.85
2020-08-04,0.98,262.83,4.1,1.07,3809.37,23.99,117.06,1.37,95.28
2020-08-05,.,298.15,4.2,-0.77,4323.79,26.72,94.63,1.02,108.78
2020-08-06,0.88,274.18,5,2.54,4455.06,27.5,81.43,1.37,102.73
2020-08-07,0.89,290.3,4.8,-0.09,4321.2,16.44,107.25,1.95,96.49
2020-08-08,0.91,277.51,3.9,0.16,3501.57,28.65,75.06,0.52,95.39
2020-08-09,0.87,252.17,3.8,-0.26,4136.4,19.84,93.84,1.68,93.82
2020-08-10,0.88,281.66,3.7,0.49,3551.14,29.28,81.51,1.73,103.89
2020-08-11,0.86,297.57,4.8,2.41,3757.61,31.45,99.4,1.78,94.37
2020-08-12,0.83,280.08,5,1.34,3559.52,31.08,74.42,0.98,101.91
2020-08-13,0.86,290.96,4,-0.08,4103.8,26.05,71.5,1.93,95.29
2020-08-14,0.88,294.21,3.5,2.95,4186.59,25.4,115.09,0.68,103.24
2020-08-15,0.88,261.4,3.7,2.96,3614.49,17.86,66.11,0.9,106.3
2020-08-16,.,260.6,5.4,2.92,3883.84,30.51,90.36,2.25,105.56
2020-08-17,0.84,280.55,4.1,0.07,3956.24,20.43,73.25,1.98,105.22
2020-08-18,0.84,270.55,5,1.03,3869.05,24.93,62.34,0.53,93.75
2020-08-19,0.92,291.99,4.7,3.43,3621.03,20.69,62.16,1,91.77
2020-08-20,0.95,295,4.3,2.47,3918.95,17.68,70.51,0.93,103.98
2020-08-21,0.92,279.05,3.9,1.37,3933.32,29.16,113.65,1.41,101.26
2020-08-22,0.97,281.28,4,-0.01,4047.38,21.61,63.46,0.71,96.6
2020-08-23,0.94,252.59,5.4,2.59,3562.07,18.6,70.14,1.05,98.6
2020-08-24,0.92,260.55,4.3,-0.04,3589.86,25.21,105.28,1.3,102.2
2020-08-25,0.95,253.72,4.7,0.2,4329.43,25.1,101.33,2,108.18
2020-08-26,0.92,264.45,4,0.05,3559.67,17.74,67.99,0.65,99.15
2020-08-27,0.9,281.37,4.5,1.32,3669.4,19.04,90.12,1.82,109.75
2020-08-28,0.9,278.31,3.6,0.45,4295.83,23.16,106.85,1.93,101.86
2020-08-29,0.92,280.61,3.6,-0.31,3501.15,23.18,73.13,1.81,93.21
2020-08-30,0.92,277.46,4.4,1.04,3782.4,21.35,112.28,2.02,93.8
2020-08-31,0.94,263.65,4.3,2.93,4084.04,17.97,63.18,0.86,104.32
2020-09-01,0.95,262.23,3.8,1.57,4095.45,15.09,106.93,1.67,91.01
2020-09-02,0.95,256.85,4.9,2.95,4277.15,34.4,96.95,2.38,99.61
2020-09-03,0.93,292.45,5.5,-0.12,4005.93,33.87,78.91,1.72,92.96
2020-09-04,0.96,280.82,4.3,-0.25,4009.4,24.67,103.26,1.72,98.66
2020-09-05,0.94,259.33,4.7,1.59,4225.31,34.9,106.94,1.97,105
2020-09-06,.,258.86,5.4,1.08,3998.62,28.47,116.03,1.17,99.18
2020-09-07,0.94,293.65,5.2,1.97,4108.49,16.38,82.07,1.9,93.27
2020-09-08,0.94,287.14,4.4,2.58,4397.77,17.35,101.16,2.33,95.04
2020-09-09,0.93,282.97,5,2.38,3901.45,33.32,96.16,0.52,97.35
2020-09-10,0.93,270.34,3.8,3.24,3885.13,27.6,91.51,2.24,91.39
2020-09-11,.,263.1,4.5,0.79,3503.55,31.86,113.42,0.94,101.69
2020-09-12,0.93,298.97,4.1,-0.07,4113.43,32.97,60.19,1.41,102.15
2020-09-13,0.96,289.86,3.8,1.48,3529.77,23.96,76.93,2.2,91.24
2020-09-14,1.04,265.09,4.4,-0.5,4004.15,15.97,92.3,2.15,98.05
2020-09-15,1.08,292.38,3.8,0.3,4304.23,18.77,70.7,2.28,98.28
2020-09-16,1.13,287.95,4.9,-0.06,4049.92,16.33,114.47,2.38,96.68
2020-09-17,1.15,264.85,4.4,0.78,3769.64,18.77,98.86,1.39,101.15
2020-09-18,1.15,271.33,4.6,-0.5,4286.17,23.21,88.67,1.81,96.92
2020-09-19,1.1,259.3,3.8,-0.86,3769.72,17.36,108.88,1.28,98.33
2020-09-20,1.15,255.55,3.8,1.96,4233.03,18.33,87.05,1.2,105.95
2020-09-21,1.11,286.14,4.7,1.75,4110.26,23.92,93.52,1.36,93.24
2020-09-22,.,263.38,5.5,2.19,3670,21.8,60.17,1.99,102.38
2020-09-23,1.1,291,3.7,1.97,4405.13,24.35,81.94,1.5,100.11
2020-09-24,1.1,299.78,4.1,-0.49,3700.64,23.58,68.33,2.13,96.1
2020-09-25,1.12,253.83,5.2,0.31,4489.59,27.89,101.38,1.99,104.55
2020-09-26,1.1,273.65,3.6,-0.42,3507.31,33.74,88.74,0.54,101.02
2020-09-27,1.05,290.1,5.3,2.79,3763.48,17.16,78.11,1.76,99.55
2020-09-28,1.05,289.45,4.5,2.36,3699.86,16.99,88.07,1.37,103.35
2020-09-29,1.04,288,4.3,-0.09,3513.99,32.06,72.58,1.41,106.05
2020-09-30,1.07,267.45,4.1,0.54,4232.37,25.13,115.51,2.14,109.45
2020-10-01,1.11,272.69,4.1,3.35,4193.43,30.33,63.24,1.6,102.59
2020-10-02,1.09,279.75,4.1,1.67,4292.35,19.31,111.93,2.27,107.49
2020-10-03,1.12,298.7,5.3,2.61,3756.7,31.58,90.68,1.93,90.02
2020-10-04,1.15,266.38,4.9,0.19,3944.34,33.48,97.14,1.61,100.6
2020-10-05,1.15,296.16,4.8,-0.05,4159.11,27.71,78.16,2.01,94.29
2020-10-06,1.19,263.47,5.1,2.53,3939.77,17.12,118,0.58,91.88
2020-10-07,1.19,299.45,4,2.09,4197.33,32.91,76.91,0.55,100.64
2020-10-08,1.18,283.51,4.7,2.06,4133.97,30.85,95.33,0.67,104.94
2020-10-09,1.15,273.18,4.4,1.49,3614.65,30.02,119.61,1.38,98.25
2020-10-10,1.16,280.67,5.1,1.54,4281.04,15.73,112.87,0.97,103.4
2020-10-11,1.2,263.63,4.1,2.31,4220.68,30.98,92.18,2.47,99.79
2020-10-12,.,263.71,4.8,0.22,4155.83,17.76,119.42,1.58,98.74
2020-10-13,1.3,255.68,5.3,0.59,3655.09,19.45,102.08,1.82,95.81
2020-10-14,1.29,255.7,4.3,2.92,3768,26.54,72.52,1.06,97.65
